variant,seed,fold,accuracy_pct,f1_macro_pct,best_epoch,best_val_loss,n_train,n_val
full,42,1,81.48148148148148,81.6931216931217,65,0.5228036642074585,648,27
full,42,2,88.88888888888889,88.51851851851852,42,0.6338628530502319,729,18
full,42,3,83.33333333333334,82.96296296296296,128,0.6482042074203491,729,18
full,42,4,72.22222222222221,68.57142857142857,36,1.1735873222351074,729,18
full,42,5,83.33333333333334,82.96296296296296,19,0.6043983101844788,729,18
full,123,1,77.77777777777779,76.64021164021165,45,0.8525959849357605,648,27
full,123,2,100.0,100.0,91,0.05403928831219673,729,18
full,123,3,94.44444444444444,94.07407407407408,46,0.28894686698913574,729,18
full,123,4,83.33333333333334,82.22222222222221,32,0.4968223571777344,729,18
full,123,5,100.0,100.0,127,0.012276575900614262,729,18
full,2025,1,81.48148148148148,76.45502645502646,116,0.49576109647750854,648,27
full,2025,2,88.88888888888889,88.51851851851852,115,0.2956031560897827,729,18
full,2025,3,83.33333333333334,82.96296296296296,101,0.43293753266334534,729,18
full,2025,4,61.111111111111114,62.96296296296296,21,1.1081116199493408,729,18
full,2025,5,72.22222222222221,69.62962962962962,34,0.7402641773223877,729,18
no_augment,42,1,51.85185185185185,48.32451499118165,90,1.3358465433120728,72,27
no_augment,42,2,33.33333333333333,30.370370370370367,58,1.4207379817962646,81,18
no_augment,42,3,55.55555555555556,48.14814814814814,90,1.5444945096969604,81,18
no_augment,42,4,33.33333333333333,29.259259259259256,59,1.540921926498413,81,18
no_augment,42,5,72.22222222222221,68.57142857142857,106,0.8131888508796692,81,18
no_augment,123,1,66.66666666666666,66.95767195767195,159,1.2787930965423584,72,27
no_augment,123,2,66.66666666666666,66.29629629629629,108,1.0196996927261353,81,18
no_augment,123,3,72.22222222222221,68.14814814814814,109,0.7733739018440247,81,18
no_augment,123,4,77.77777777777779,72.59259259259258,181,0.7140935659408569,81,18
no_augment,123,5,61.111111111111114,62.22222222222222,95,0.7912582159042358,81,18
no_augment,2025,1,44.44444444444444,41.8694885361552,69,1.4734441041946411,72,27
no_augment,2025,2,50.0,50.0,82,1.1504276990890503,81,18
no_augment,2025,3,38.88888888888889,37.24867724867725,83,1.2020100355148315,81,18
no_augment,2025,4,50.0,41.85185185185185,68,1.557464361190796,81,18
no_augment,2025,5,44.44444444444444,41.534391534391524,74,1.5565314292907715,81,18
no_zscore,42,1,88.88888888888889,88.67724867724867,124,0.3795160949230194,648,27
no_zscore,42,2,88.88888888888889,88.51851851851852,91,0.5532698035240173,729,18
no_zscore,42,3,72.22222222222221,69.3121693121693,42,0.7624011635780334,729,18
no_zscore,42,4,66.66666666666666,60.37037037037036,56,1.054931640625,729,18
no_zscore,42,5,88.88888888888889,88.88888888888889,127,0.4770919382572174,729,18
no_zscore,123,1,51.85185185185185,51.18165784832452,17,0.9861935377120972,648,27
no_zscore,123,2,94.44444444444444,94.07407407407408,68,0.20998531579971313,729,18
no_zscore,123,3,83.33333333333334,83.33333333333333,58,0.2394839972257614,729,18
no_zscore,123,4,88.88888888888889,88.51851851851852,98,0.2962172329425812,729,18
no_zscore,123,5,100.0,100.0,59,0.07205784320831299,729,18
no_zscore,2025,1,74.07407407407408,73.4126984126984,88,0.8226299285888672,648,27
no_zscore,2025,2,100.0,100.0,122,0.15402692556381226,729,18
no_zscore,2025,3,77.77777777777779,77.03703703703702,118,0.4523729085922241,729,18
no_zscore,2025,4,50.0,51.85185185185185,29,1.0325580835342407,729,18
no_zscore,2025,5,55.55555555555556,52.8042328042328,17,1.1237926483154297,729,18
no_class_w,42,1,92.5925925925926,92.38095238095238,172,0.29345449805259705,648,27
no_class_w,42,2,88.88888888888889,88.51851851851852,42,0.6338628530502319,729,18
no_class_w,42,3,83.33333333333334,82.96296296296296,128,0.6482042074203491,729,18
no_class_w,42,4,72.22222222222221,68.57142857142857,36,1.1735873222351074,729,18
no_class_w,42,5,83.33333333333334,82.96296296296296,19,0.6043983101844788,729,18
no_class_w,123,1,77.77777777777779,76.64021164021165,45,0.8525959849357605,648,27
no_class_w,123,2,100.0,100.0,91,0.05403928831219673,729,18
no_class_w,123,3,94.44444444444444,94.07407407407408,46,0.28894686698913574,729,18
no_class_w,123,4,83.33333333333334,82.22222222222221,32,0.4968223571777344,729,18
no_class_w,123,5,100.0,100.0,127,0.012276575900614262,729,18
no_class_w,2025,1,81.48148148148148,76.45502645502646,116,0.49576109647750854,648,27
no_class_w,2025,2,88.88888888888889,88.51851851851852,115,0.2956031560897827,729,18
no_class_w,2025,3,83.33333333333334,82.96296296296296,101,0.43293753266334534,729,18
no_class_w,2025,4,61.111111111111114,62.96296296296296,21,1.1081116199493408,729,18
no_class_w,2025,5,72.22222222222221,69.62962962962962,34,0.7402641773223877,729,18
