session_id,duracion_s,escenas_visitadas,n_signs,n_tracking_samples
20260519_235730,128.0,0,0,0
20260520_080715,242.3,0,0,0
20260520_081126,79.7,0,0,0
20260522_191614,10.7,0,0,0
20260522_191827,3.3,0,0,0
20260522_191900,542.4,0,0,0
20260522_192856,1225.7,0,0,0
20260522_195853,10.4,0,0,0
20260522_195907,27.7,0,0,0
20260522_200055,28.0,0,0,0
20260522_200154,12.3,0,0,0
20260522_200838,20.4,0,0,0
20260522_201023,11.3,0,0,0
20260522_202259,15.1,0,0,0
20260522_204555,18.1,0,0,0
20260522_224047,25.7,0,0,0
20260522_225210,25.8,0,0,0
20260522_231217,30.3,0,0,0
20260522_233702,4.9,0,0,0
20260522_234305,27.3,0,0,0
20260522_234604,17.5,0,0,0
20260522_234625,13.9,0,0,0
20260522_235352,41.9,0,0,0
20260522_235529,30.2,0,0,0
20260522_235704,16.9,0,0,0
20260523_002129,15.8,0,0,0
20260523_002153,19.8,0,0,0
20260523_002307,25.1,0,0,0
20260523_002406,17.2,0,0,0
20260523_004143,24.3,0,0,0
20260523_004304,1.7,0,0,0
20260523_004314,49.0,0,0,0
20260523_143106,56.9,0,0,0
20260523_151454,13.6,0,0,0
20260523_151732,29.3,0,0,0
20260523_152330,19.0,0,0,0
20260523_152445,23.3,0,0,0
20260523_153833,30.9,0,0,0
20260523_160321,22.9,0,0,0
20260523_160658,10.3,0,0,0
20260523_171332,37.4,0,0,0
20260523_171420,57.5,0,0,0
20260523_173832,30.8,0,0,0
20260523_173906,54.5,0,0,0
20260523_205824,42.3,0,0,0
20260523_205948,36.9,0,0,0
20260523_210049,76.3,0,0,0
20260524_000911,28.9,0,0,0
20260524_001045,79.0,0,0,0
20260524_013455,248.1,0,0,0
20260524_013953,117.7,0,0,0
20260524_103819,56.6,0,0,0
20260524_110158,24.1,0,0,0
20260524_112036,29.3,0,0,0
20260524_112239,26.7,0,0,0
20260524_113049,64.8,0,0,0
20260524_113330,38.6,0,0,0
20260524_113601,27.2,0,0,0
20260524_113828,21.5,0,0,0
20260524_115159,59.0,0,0,0
20260524_115839,31.3,0,0,0
20260524_115936,34.9,0,0,0
20260524_124233,44.8,0,0,0
20260524_124558,36.8,0,0,0
20260524_124916,20.1,0,0,0
20260524_125015,16.3,0,0,0
20260524_125816,30.5,0,0,0
20260524_130201,38.0,0,0,0
20260524_142231,8.6,0,0,0
20260524_184021,15.6,0,0,0
20260524_184053,229.5,0,0,0
20260525_225237,50.8,0,0,0
20260525_225812,317.8,0,0,0
20260525_230811,161.8,0,0,0
20260525_231136,304.3,0,0,0
20260525_233559,38.6,0,0,1065
20260525_235357,57.8,5,0,1685
20260526_001754,165.9,5,7,4734
20260526_003036,100.7,4,2,3015
20260526_081149,392.0,7,5,11507
20260526_143528,606.3,7,9,17859
20260526_145006,427.2,7,11,12732
20260527_081448,71.4,1,0,2147
20260527_081603,329.6,6,14,9551
